DATASET_EXTERNALSHAPE
SEPARATOR TAB
DATASET_LABEL	state
COLOR	#ff0000
FIELD_COLORS	# TODO: more than 12 type; Please add color palette here; separated by tab
FIELD_LABELS	mccB	mccA	yhaO	tnaA	sseA	metC	dcyD	malY	aspC	mgl	yhaM	cysM	iscS	cysK	gene_name
g__Anaerostipes	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.745	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Dorea	0.426	0.0	0.0	0.0	0.0	0.0	0.0	0.739	0.0	0.0	1.0	0.0	0.0	0.977	0.0
g__CAG-510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Hungatella_A	0.577	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.816	0.0
g__Clostridium_Q	0.408	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.913	0.0	0.0	1.0	0.0
g__CAG-632	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Butyrivibrio_A	0.707	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Blautia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.806	0.0	0.0	0.975	0.0	0.0	0.949	0.0
g__UBA9502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__CAG-590	0.408	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__CAG-56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408	0.0	0.0	0.408	0.0	0.0	1.0	0.0
g__Eisenbergiella	0.302	0.0	0.0	0.0	0.0	0.0	0.0	0.905	0.0	0.0	1.0	0.0	0.0	0.953	0.0
g__CAG-81	0.408	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.913	0.0	0.0	0.816	0.0
g__Lachnoanaerobaculum	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.816	0.0	0.0	0.816	0.0
g__Stomatobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.866	0.0
g__UBA2882	0.577	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Lachnoclostridium	0.816	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__CAG-882	0.866	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Marvinbryantia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.447	0.0	0.0	1.0	0.0
g__Fusicatenibacter	0.707	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.866	0.0	0.0	1.0	0.0
g__CAG-95	0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.756	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Agathobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.949	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Lachnospira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.289	0.0	0.0	1.0	0.0
g__Tyzzerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.935	0.0	0.0	1.0	0.0
g__Blautia_A	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.943	0.0	0.0	0.972	0.0
g__Lachnoclostridium_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.707	0.0
g__Acetatifactor	0.853	0.0	0.0	0.0	0.0	0.0	0.0	0.905	0.0	0.0	0.302	0.0	0.0	1.0	0.0
g__UBA1390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.707	0.0	0.0	0.866	0.0
g__CAG-314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	1.0	0.0	0.0	0.816	0.0
g__CAG-1435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__UBA10677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.535	0.0	0.0	1.0	0.0
g__CAG-475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.447	0.0
g__CAG-917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
f__UBA1242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__QALS01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.447	0.0	0.0	0.894	0.0
g__UBA1259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0
g__UBA11940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA7597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA10281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
f__Eubacteriaceae	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__GCA-900066495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.816	1.0	0.0	0.0	1.0	0.0
g__Peptostreptococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.408	0.707	0.0	0.0	1.0	0.0
g__Terrisporobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.866	0.866	0.0	0.0	1.0	0.0
g__Clostridium_U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.816	0.0	0.0	1.0	0.0
g__UBA1191	0.333	0.0	0.0	0.0	0.0	0.0	0.0	0.333	0.0	0.0	0.577	0.0	0.0	0.943	0.0
g__CAG-145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.707	0.0	0.0	0.957	0.0
g__Emergencia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Mogibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.756	0.0	0.0	0.655	0.0	0.0	0.926	0.0
g__S5-A14a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
o__Saccharofermentanales	0.577	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.816	0.0	0.0	0.0	0.0
f__QAND01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0
g__UBA11524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.577	0.0	0.0	0.816	0.0
g__UBA5394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.816	0.0	0.0	0.816	0.0
g__CAG-1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775	0.0	0.0	0.894	0.0	0.0	1.0	0.0
g__Phil1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.707	0.0	0.0	0.866	0.0
g__UBA1685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.707	0.0
g__QALW01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__QANA01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.0	0.0	0.0	0.816	0.0
g__UBA4716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.0	0.0	0.0	0.577	0.0
f__UBA9506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
f__Monoglobaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.953	0.0
f__UBA1234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__CAG-452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__CAG-245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__CAG-269	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__UBA7001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__CAG-273	0.426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__CAG-492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__CAG-354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__CAG-465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Mitsuokella	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Megamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	1.0	0.0	0.0	0.866	0.0
f__Negativicoccaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA1822	0.447	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	1.0	0.0	0.0	0.0	0.0
g__Dialister	0.767	0.0	0.0	0.0	0.0	0.0	0.0	0.907	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Veillonella_A	0.0	0.0	0.447	0.0	0.0	0.0	0.0	0.894	0.0	0.447	0.894	0.0	0.0	0.0	0.0
g__Veillonella	0.965	0.0	0.0	0.0	0.0	0.0	0.0	0.965	0.0	0.0	0.871	0.0	0.0	0.983	0.0
g__F0422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.775	0.0
g__Anaeroglobus	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.866	0.0
g__Caecibacter	0.0	0.0	0.707	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
g__Megasphaera	0.0	0.0	0.961	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.961	0.0	0.0	0.961	0.0
g__Phascolarctobacterium_A	0.707	0.0	0.0	0.0	0.0	0.0	0.0	0.764	0.0	0.0	0.707	0.0	0.0	0.913	0.0
g__Acidaminococcus	0.837	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	0.949	0.0	0.0	0.632	0.0
g__Phascolarctobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.612	0.0
g__Succiniclasticum	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.0	0.0	0.0	1.0	0.0
c__Dehalobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0
g__UBA7185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.866	0.0
p__Eremiobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0
f__Sphaerochaetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	0.775	0.0
g__Treponema_D	0.707	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.0	0.0	0.0	0.957	0.0
f__Elusimicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.913	0.0	0.0	1.0	0.0
g__Mailhella	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.0	0.0	0.791	0.0	0.0	0.0	0.0
g__Bilophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.408	0.0	0.0	0.577	0.0	0.0	0.816	0.0
g__Desulfovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.832	0.0	0.0	1.0	0.0
g__Sneathia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.577	0.0	0.0	0.0	0.0	0.0
g__Fusobacterium	0.745	0.0	0.0	0.0	0.0	0.0	0.0	0.882	0.0	1.0	1.0	0.0	0.0	0.943	0.0
g__Fusobacterium_B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.913	1.0	0.0	0.0	0.0	0.0
g__Fusobacterium_A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.953	0.0	0.739	0.953	0.0	0.0	0.302	0.0
c__Kiritimatiellae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.791	0.0
g__UBA1829	0.632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0
g__UBA11452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0
f__Victivallaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0
o__UBA1407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
o__Verrucomicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__CAG-312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.277	0.0	0.0	0.0	0.0	0.0	0.961	0.0
p__Patescibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Paenibacillus_A	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Paenibacillus	1.0	0.577	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.577	0.0	0.0	1.0	0.0
f__Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Listeria	1.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Lactobacillus_H	0.816	0.577	0.333	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.471	0.0	0.0	0.816	0.0
g__Lactobacillus	0.459	0.324	0.0	0.0	0.0	0.0	0.0	0.513	0.0	0.0	0.0	0.0	0.0	0.607	0.0
g__Lactobacillus_B	0.707	0.577	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.913	0.0
g__Lactobacillus_C	0.894	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0
g__Lactobacillus_G	0.791	0.5	0.0	0.0	0.0	0.0	0.0	0.707	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Weissella	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Leuconostoc	1.0	0.447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Enterococcus_D	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Enterococcus_B	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0
g__Enterococcus_C	0.577	0.577	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0
g__Enterococcus_A	1.0	0.816	0.0	0.0	0.0	0.0	0.0	0.913	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Lactococcus	0.866	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	0.612	0.0	0.0	1.0	0.0
g__Streptococcus	0.363	0.0	0.0	0.0	0.0	0.0	0.0	0.952	0.0	0.0	0.0	0.0	0.0	0.942	0.0
g__UBA7642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.775	0.0	0.0	0.0	0.0	0.0	0.775	0.0
g__CAG-449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0
f__CAG-631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0
g__UBA4855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__UBA733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.632	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o__Mycoplasmatales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__CAG-307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.913	0.0	0.0	0.707	0.0
o__ML615J-28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.48	0.0
o__RF39	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Kurthia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
f__Exiguobacteraceae	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.816	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Staphylococcus	1.0	0.961	0.0	0.0	0.0	0.0	0.0	0.277	0.0	0.0	0.0	0.0	0.0	1.0	0.0
g__Gemella	0.378	0.0	0.0	0.0	0.0	0.0	0.0	0.845	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Erysipelatoclostridium	0.612	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.791	0.0	0.0	0.866	0.0
g__Catenibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Beduini	0.577	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.816	0.0	0.0	0.816	0.0
g__Holdemanella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Holdemania	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
g__Merdibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.866	0.0	0.0	1.0	0.0	0.0	0.5	0.0
g__Faecalicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
g__Absiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.935	0.0	0.0	1.0	0.0	0.0	0.791	0.0
g__Solobacterium	0.577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.577	0.0	0.0	0.745	0.0
g__Oceanobacillus	1.0	0.816	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.816	0.0	0.0	0.0	1.0	0.0
f__Bacillaceae_A	1.0	0.739	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.853	0.426	0.0	0.0	1.0	0.0
g__Bacillus_A	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.866	0.0	0.0	0.0	1.0	0.0
f__Bacillaceae	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
p__Cyanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.951	0.0
